year,sex,age_group,population
2019,females,25–34,1894056
2019,females,35–44,1704561
2019,females,45–54,1636091
2019,females,55–64,1507874
2019,females,5–14,1543809
2019,females,65–74,1176401
2019,females,75–84,656003
2019,females,85+,313427
2019,males,0–4,799652
2019,males,15–24,1663943
2019,males,25–34,1884546
2019,males,35–44,1680226
2019,males,45–54,1588342
2019,males,55–64,1439790
2019,males,5–14,1633396
2019,males,65–74,1115644
2019,males,75–84,577380
2019,males,85+,194302
2020,females,0–4,745435
2020,females,15–24,1547205
2020,females,25–34,1899827
2020,females,35–44,1745721
2020,females,45–54,1648254
2020,females,55–64,1540797
2020,females,5–14,1565375
2020,females,65–74,1223175
2020,females,75–84,686316
2020,females,85+,318504
2020,males,0–4,789571
2020,males,15–24,1643515
2020,males,25–34,1894112
2020,males,35–44,1715949
2020,males,45–54,1602930
2020,males,55–64,1465825
2020,males,5–14,1656931
2020,males,65–74,1150660
2020,males,75–84,608435
2020,males,85+,200711
2021,females,0–4,733102
2021,females,15–24,1503170
2021,females,25–34,1861631
2021,females,35–44,1777468
2021,females,45–54,1650100
2021,females,55–64,1542242
2021,females,5–14,1573180
2021,females,65–74,1254860
2021,females,75–84,714839
2021,females,85+,325410
2021,males,0–4,775899
2021,males,15–24,1598946
2021,males,25–34,1859105
2021,males,35–44,1744019
2021,males,45–54,1611609
2021,males,55–64,1474021
2021,males,5–14,1666701
2021,males,65–74,1172442
2021,males,75–84,637850
2021,males,85+,208818
