survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2007–2021,persons,65–74,3,follicular,0.906,0.897,0.914
Observed,2007–2021,persons,75–84,3,follicular,0.787,0.771,0.802
Observed,2007–2021,persons,85+,3,follicular,0.523,0.486,0.558
Observed,2007–2021,persons,5–14,4,follicular,NA,NA,NA
Observed,2007–2021,persons,15–24,4,follicular,0.97,0.884,0.9920000000000002
Observed,2007–2021,persons,25–34,4,follicular,0.9890000000000002,0.968,0.997
Observed,2007–2021,persons,35–44,4,follicular,0.973,0.961,0.981
Observed,2007–2021,persons,45–54,4,follicular,0.954,0.945,0.961
Observed,2007–2021,persons,55–64,4,follicular,0.927,0.919,0.934
Observed,2007–2021,persons,65–74,4,follicular,0.875,0.865,0.885
Observed,2007–2021,persons,75–84,4,follicular,0.716,0.698,0.733
Observed,2007–2021,persons,85+,4,follicular,0.42,0.383,0.456
Observed,2007–2021,persons,5–14,5,follicular,NA,NA,NA
Observed,2007–2021,persons,15–24,5,follicular,0.97,0.884,0.9920000000000002
Observed,2007–2021,persons,25–34,5,follicular,0.983,0.959,0.993
Observed,2007–2021,persons,35–44,5,follicular,0.965,0.953,0.974
Observed,2007–2021,persons,45–54,5,follicular,0.943,0.934,0.951
Observed,2007–2021,persons,55–64,5,follicular,0.91,0.901,0.918
Observed,2007–2021,persons,65–74,5,follicular,0.849,0.838,0.859
Observed,2007–2021,persons,75–84,5,follicular,0.643,0.624,0.662
Observed,2007–2021,persons,85+,5,follicular,0.351,0.315,0.387
Observed,2012–2016,females,5–14,1,follicular,NA,NA,NA
Observed,2012–2016,females,15–24,1,follicular,NA,NA,NA
Observed,2012–2016,females,25–34,1,follicular,1,0.92,1
Observed,2012–2016,females,35–44,1,follicular,1,0.983,1
Observed,2012–2016,females,45–54,1,follicular,0.9890000000000002,0.974,0.995
Observed,2012–2016,females,55–64,1,follicular,0.9870000000000002,0.975,0.993
Observed,2012–2016,females,65–74,1,follicular,0.983,0.97,0.99
Observed,2012–2016,females,75–84,1,follicular,0.919,0.888,0.942
Observed,2012–2016,females,85+,1,follicular,0.753,0.666,0.82
Observed,2012–2016,females,5–14,2,follicular,NA,NA,NA
Observed,2012–2016,females,15–24,2,follicular,NA,NA,NA
Observed,2012–2016,females,25–34,2,follicular,1,0.921,1
Observed,2012–2016,females,35–44,2,follicular,0.994,0.96,0.999
Observed,2012–2016,females,45–54,2,follicular,0.972,0.952,0.983
Observed,2012–2016,females,55–64,2,follicular,0.978,0.963,0.9870000000000002
Observed,2012–2016,females,65–74,2,follicular,0.964,0.946,0.976
Observed,2012–2016,females,75–84,2,follicular,0.858,0.819,0.888
Observed,2012–2016,females,85+,2,follicular,0.604,0.512,0.683
Observed,2012–2016,females,5–14,3,follicular,NA,NA,NA
