year,sex,age_group,subtype,count
1989,males,65–74,hodgkin,14
1989,males,65–74,mantle_cell,21
1989,males,75–84,dlbcl,83
1989,males,75–84,follicular,30
1989,males,75–84,hodgkin,11
1989,males,75–84,mantle_cell,13
1989,males,85+,dlbcl,17
1989,males,85+,follicular,4
1989,males,85+,hodgkin,2
1989,males,85+,mantle_cell,2
1990,females,15–24,dlbcl,5
1990,females,15–24,follicular,1
1990,females,15–24,hodgkin,42
1990,females,15–24,mantle_cell,0
1990,females,25–34,dlbcl,17
1990,females,25–34,follicular,7
1990,females,25–34,hodgkin,34
1990,females,25–34,mantle_cell,0
1990,females,35–44,dlbcl,22
1990,females,35–44,follicular,29
1990,females,35–44,hodgkin,20
1990,females,35–44,mantle_cell,1
1990,females,45–54,dlbcl,36
1990,females,45–54,follicular,43
1990,females,45–54,hodgkin,12
1990,females,45–54,mantle_cell,2
1990,females,55–64,dlbcl,59
1990,females,55–64,follicular,63
1990,females,55–64,hodgkin,10
1990,females,55–64,mantle_cell,5
1990,females,5–14,dlbcl,1
1990,females,5–14,follicular,0
1990,females,5–14,hodgkin,4
1990,females,5–14,mantle_cell,0
1990,females,65–74,dlbcl,102
1990,females,65–74,follicular,68
1990,females,65–74,hodgkin,11
1990,females,65–74,mantle_cell,8
1990,females,75–84,dlbcl,93
1990,females,75–84,follicular,38
1990,females,75–84,hodgkin,13
1990,females,75–84,mantle_cell,5
1990,females,85+,dlbcl,23
1990,females,85+,follicular,7
1990,females,85+,hodgkin,2
1990,females,85+,mantle_cell,2
1990,males,15–24,dlbcl,9
1990,males,15–24,follicular,3
1990,males,15–24,hodgkin,42
1990,males,15–24,mantle_cell,0
1990,males,25–34,dlbcl,31
1990,males,25–34,follicular,16
1990,males,25–34,hodgkin,37
1990,males,25–34,mantle_cell,1
1990,males,35–44,dlbcl,45
1990,males,35–44,follicular,38
1990,males,35–44,hodgkin,38
1990,males,35–44,mantle_cell,3
1990,males,45–54,dlbcl,62
1990,males,45–54,follicular,66
1990,males,45–54,hodgkin,29
1990,males,45–54,mantle_cell,10
1990,males,55–64,dlbcl,85
1990,males,55–64,follicular,72
1990,males,55–64,hodgkin,28
1990,males,55–64,mantle_cell,14
1990,males,5–14,dlbcl,3
1990,males,5–14,follicular,0
1990,males,5–14,hodgkin,17
1990,males,5–14,mantle_cell,0
1990,males,65–74,dlbcl,117
1990,males,65–74,follicular,69
1990,males,65–74,hodgkin,15
1990,males,65–74,mantle_cell,23
1990,males,75–84,dlbcl,81
1990,males,75–84,follicular,29
1990,males,75–84,hodgkin,10
1990,males,75–84,mantle_cell,13
1990,males,85+,dlbcl,18
1990,males,85+,follicular,4
1990,males,85+,hodgkin,1
1990,males,85+,mantle_cell,2
1991,females,15–24,dlbcl,6
1991,females,15–24,follicular,1
1991,females,15–24,hodgkin,41
1991,females,15–24,mantle_cell,0
1991,females,25–34,dlbcl,15
1991,females,25–34,follicular,6
1991,females,25–34,hodgkin,32
1991,females,25–34,mantle_cell,0
1991,females,35–44,dlbcl,24
1991,females,35–44,follicular,31
1991,females,35–44,hodgkin,17
1991,females,35–44,mantle_cell,1
1991,females,45–54,dlbcl,34
1991,females,45–54,follicular,40
1991,females,45–54,hodgkin,8
1991,females,45–54,mantle_cell,2
1991,females,55–64,dlbcl,66
1991,females,55–64,follicular,71
1991,females,55–64,hodgkin,8
1991,females,55–64,mantle_cell,5
1991,females,5–14,dlbcl,1
1991,females,5–14,follicular,0
1991,females,5–14,hodgkin,2
