year,sex,age_group,cancer_group,count
1993,males,35–44,Non-Hodgkin lymphoma,157
1993,males,45–54,Hodgkin lymphoma,22
1993,males,45–54,Non-Hodgkin lymphoma,213
1993,males,55–64,Hodgkin lymphoma,21
1993,males,55–64,Non-Hodgkin lymphoma,287
1993,males,5–14,Hodgkin lymphoma,16
1993,males,5–14,Non-Hodgkin lymphoma,31
1993,males,65–74,Hodgkin lymphoma,18
1993,males,65–74,Non-Hodgkin lymphoma,360
1993,males,75–84,Hodgkin lymphoma,7
1993,males,75–84,Non-Hodgkin lymphoma,262
1993,males,85+,Hodgkin lymphoma,2
1993,males,85+,Non-Hodgkin lymphoma,56
1994,females,15–24,Hodgkin lymphoma,41
1994,females,15–24,Non-Hodgkin lymphoma,17
1994,females,25–34,Hodgkin lymphoma,32
1994,females,25–34,Non-Hodgkin lymphoma,36
1994,females,35–44,Hodgkin lymphoma,23
1994,females,35–44,Non-Hodgkin lymphoma,94
1994,females,45–54,Hodgkin lymphoma,10
1994,females,45–54,Non-Hodgkin lymphoma,162
1994,females,55–64,Hodgkin lymphoma,13
1994,females,55–64,Non-Hodgkin lymphoma,225
1994,females,5–14,Hodgkin lymphoma,6
1994,females,5–14,Non-Hodgkin lymphoma,8
1994,females,65–74,Hodgkin lymphoma,20
1994,females,65–74,Non-Hodgkin lymphoma,318
1994,females,75–84,Hodgkin lymphoma,12
1994,females,75–84,Non-Hodgkin lymphoma,297
1994,females,85+,Hodgkin lymphoma,2
1994,females,85+,Non-Hodgkin lymphoma,81
1994,males,15–24,Hodgkin lymphoma,32
1994,males,15–24,Non-Hodgkin lymphoma,28
1994,males,25–34,Hodgkin lymphoma,34
1994,males,25–34,Non-Hodgkin lymphoma,64
1994,males,35–44,Hodgkin lymphoma,31
1994,males,35–44,Non-Hodgkin lymphoma,147
1994,males,45–54,Hodgkin lymphoma,28
1994,males,45–54,Non-Hodgkin lymphoma,229
1994,males,55–64,Hodgkin lymphoma,20
1994,males,55–64,Non-Hodgkin lymphoma,257
1994,males,5–14,Hodgkin lymphoma,13
1994,males,5–14,Non-Hodgkin lymphoma,27
1994,males,65–74,Hodgkin lymphoma,29
1994,males,65–74,Non-Hodgkin lymphoma,383
1994,males,75–84,Hodgkin lymphoma,10
1994,males,75–84,Non-Hodgkin lymphoma,261
1994,males,85+,Hodgkin lymphoma,2
1994,males,85+,Non-Hodgkin lymphoma,49
1995,females,15–24,Hodgkin lymphoma,47
1995,females,15–24,Non-Hodgkin lymphoma,27
1995,females,25–34,Hodgkin lymphoma,38
1995,females,25–34,Non-Hodgkin lymphoma,34
1995,females,35–44,Hodgkin lymphoma,23
1995,females,35–44,Non-Hodgkin lymphoma,78
1995,females,45–54,Hodgkin lymphoma,13
1995,females,45–54,Non-Hodgkin lymphoma,176
1995,females,55–64,Hodgkin lymphoma,10
1995,females,55–64,Non-Hodgkin lymphoma,239
1995,females,5–14,Hodgkin lymphoma,5
1995,females,5–14,Non-Hodgkin lymphoma,10
1995,females,65–74,Hodgkin lymphoma,11
1995,females,65–74,Non-Hodgkin lymphoma,347
1995,females,75–84,Hodgkin lymphoma,6
1995,females,75–84,Non-Hodgkin lymphoma,327
1995,females,85+,Hodgkin lymphoma,1
1995,females,85+,Non-Hodgkin lymphoma,98
1995,males,15–24,Hodgkin lymphoma,32
1995,males,15–24,Non-Hodgkin lymphoma,29
1995,males,25–34,Hodgkin lymphoma,35
1995,males,25–34,Non-Hodgkin lymphoma,87
1995,males,35–44,Hodgkin lymphoma,37
1995,males,35–44,Non-Hodgkin lymphoma,149
1995,males,45–54,Hodgkin lymphoma,19
1995,males,45–54,Non-Hodgkin lymphoma,223
1995,males,55–64,Hodgkin lymphoma,15
1995,males,55–64,Non-Hodgkin lymphoma,269
1995,males,5–14,Hodgkin lymphoma,14
1995,males,5–14,Non-Hodgkin lymphoma,24
1995,males,65–74,Hodgkin lymphoma,21
1995,males,65–74,Non-Hodgkin lymphoma,389
1995,males,75–84,Hodgkin lymphoma,10
1995,males,75–84,Non-Hodgkin lymphoma,248
1995,males,85+,Hodgkin lymphoma,2
1995,males,85+,Non-Hodgkin lymphoma,50
1996,females,15–24,Hodgkin lymphoma,49
1996,females,15–24,Non-Hodgkin lymphoma,19
1996,females,25–34,Hodgkin lymphoma,34
