subtype,sex,duration,year,prev_mid,prev_p025,prev_p975,pct_change
total,males,5,2021,15143.924506352916,15094.13562010835,15192.094333867022,0
total,males,5,2030,19900.543163776078,19485.93758547725,20313.81215507795,31.4
total,males,5,2040,24060.630913984805,23429.854132879438,24738.853613510746,58.9
total,males,5,2045,25214.917530881125,24462.69103698248,26053.261853493066,66.5
total,persons,5,2021,26778.167035938342,26713.30234132401,26840.53603959651,0
total,persons,5,2030,35596.50469963123,35066.23087327974,36180.385559350776,32.9
total,persons,5,2040,43475.90835467816,42615.5398317944,44419.88803923011,62.4
total,persons,5,2045,45859.4397845527,44750.98228165069,47120.45784907964,71.3
dlbcl,females,10,2021,5321.715407922574,5221.130952425418,5421.848990714468,0
dlbcl,females,10,2030,6929.955996263929,6545.804126630705,7362.769712721497,30.2
dlbcl,females,10,2040,8384.509479326305,7629.910542285475,9284.757688690697,57.6
dlbcl,females,10,2045,8865.571558385283,7925.991405715879,10053.405559640385,66.6
dlbcl,males,10,2021,7050.118752127807,6929.012926296247,7177.8781054074825,0
dlbcl,males,10,2030,8984.310079790976,8575.003240105207,9466.932558089984,27.4
dlbcl,males,10,2040,10602.11915201652,9748.95376721419,11676.53573563957,50.4
dlbcl,males,10,2045,10819.337601441028,9804.955171581636,12172.210908285944,53.5
dlbcl,persons,10,2021,12371.005229920807,12216.475975499909,12523.937742820683,0
dlbcl,persons,10,2030,15930.309465325561,15342.7404287326,16546.029028999772,28.8
dlbcl,persons,10,2040,19044.379149826895,17796.684263549578,20292.93334812204,53.9
dlbcl,persons,10,2045,19780.244108319777,18245.26696635838,21392.47260567725,59.9
follicular,females,10,2021,5013.525038120873,4950.013995752186,5072.6959594371365,0
follicular,females,10,2030,6056.830619903637,5725.754341970136,6412.176690251309,20.8
follicular,females,10,2040,6597.75358073166,6023.819190874144,7257.970164400601,31.6
follicular,females,10,2045,6342.6664414176,5664.765820090572,7108.680668862152,26.5
follicular,males,10,2021,5851.707417613839,5780.085198514145,5926.833594325789,0
follicular,males,10,2030,7529.603021387263,7107.690000855159,7984.269355187852,28.7
follicular,males,10,2040,8552.826386863573,7784.921107747925,9435.709386230272,46.2
follicular,males,10,2045,8506.34912367434,7598.9293075529,9596.330940122023,45.4
follicular,persons,10,2021,10865.054060518894,10769.008769276112,10960.492385633548,0
follicular,persons,10,2030,13594.068146777194,13018.048451089526,14157.09568292244,25.1
follicular,persons,10,2040,15175.760352695703,14196.629836702301,16192.877175939117,39.7
follicular,persons,10,2045,14866.253319800828,13741.462513200118,16121.071279819618,36.8
hodgkin,females,10,2021,2716.7349308240837,2674.44996671539,2755.882854942649,0
hodgkin,females,10,2030,3379.970076213157,3174.1454929789757,3591.0794564028606,24.4
hodgkin,females,10,2040,3981.537314410043,3664.1354314347777,4308.134149782512,46.6
hodgkin,females,10,2045,4193.814261227784,3825.5863868453107,4582.794158801297,54.4
hodgkin,males,10,2021,3273.525693385936,3220.9499679529795,3322.3010207503003,0
hodgkin,males,10,2030,4058.5729727270655,3854.477619510072,4291.575452622155,24
hodgkin,males,10,2040,5015.242867120449,4673.897555223847,5390.979320506562,53.2
hodgkin,males,10,2045,5407.166132519005,4992.1609373068595,5850.977917541088,65.2
hodgkin,persons,10,2021,5991.1979733544595,5927.549289887398,6055.100770678852,0
hodgkin,persons,10,2030,7442.80513031457,7130.734274719922,7739.541507491908,24.2
hodgkin,persons,10,2040,9010.145367523366,8500.747489510646,9474.634515231734,50.4
hodgkin,persons,10,2045,9617.213306045744,9028.766074215471,10165.628631009844,60.5
mantle_cell,females,10,2021,492.2125084505202,460.9411308523823,523.3994573162993,0
mantle_cell,females,10,2030,737.552587681482,597.5213588173747,899.1652251170062,49.8
mantle_cell,females,10,2040,1186.9239100741736,853.1442487234706,1670.8220908431858,141.1
mantle_cell,females,10,2045,1348.2051995788045,903.6499130715002,2069.089066886022,173.9
mantle_cell,males,10,2021,1195.1531503338533,1152.9485355876188,1240.0596048245966,0
mantle_cell,males,10,2030,1824.5707529135548,1609.2789144513001,2039.7260916616542,52.7
mantle_cell,males,10,2040,2557.995006581371,2059.992175524769,3126.5766634921692,114
mantle_cell,males,10,2045,2651.975670982649,2035.247940215439,3385.9453634738607,121.9
mantle_cell,persons,10,2021,1688.0541778029988,1635.2164851266484,1740.939360680045,0
mantle_cell,persons,10,2030,2559.588801272957,2302.330617142798,2832.843817204317,51.6
