effect,value,rr,rr_p025,rr_p975,subtype,sex,tier
cohort,1904,0.591331062631471,0.5625873521937818,0.6208058737611715,nhl,males,agg
cohort,1905,0.6003336999299548,0.5721048772965881,0.6287622341480542,nhl,males,agg
cohort,1906,0.6094318130305589,0.5819111849662266,0.6369771041423172,nhl,males,agg
cohort,1907,0.6186097293985966,0.5919173852066286,0.6454685534824062,nhl,males,agg
cohort,1908,0.6279734293360961,0.6019185804487709,0.6541621196997324,nhl,males,agg
cohort,1909,0.6375167695423145,0.6118911716966352,0.6626710055875953,nhl,males,agg
cohort,1910,0.6470414174760604,0.6226700226775957,0.6718504389239998,nhl,males,agg
cohort,1910.5,0.651850375723686,0.6281576501130944,0.6764582229711633,nhl,males,agg
cohort,1911,0.6566723234746813,0.6336972277016424,0.6810350330286689,nhl,males,agg
cohort,1911.5,0.6616545805366274,0.6391265484496325,0.6856142148379758,nhl,males,agg
cohort,1912,0.6665821050115142,0.6442923595134111,0.6902037317308957,nhl,males,agg
cohort,1912.5,0.6715226944372373,0.6497744118633005,0.6949035290386533,nhl,males,agg
cohort,1913,0.6765435993998867,0.6552496991843396,0.6997334726782186,nhl,males,agg
cohort,1913.5,0.6815334893442437,0.6607127142734812,0.7044777363098891,nhl,males,agg
cohort,1914,0.6866627777063017,0.6662212769955649,0.7089455657181506,nhl,males,agg
cohort,1914.5,0.6918060145764685,0.6718775177559968,0.7137111493233792,nhl,males,agg
cohort,1915,0.6970251999583275,0.6776031250412694,0.7185094234207441,nhl,males,agg
cohort,1915.5,0.7021915641769703,0.683011853829695,0.7233410413093518,nhl,males,agg
cohort,1916,0.7074358729462638,0.6887586320213103,0.72835682806235,nhl,males,agg
cohort,1916.5,0.7128377321419359,0.6946502396127685,0.73342482949129,nhl,males,agg
cohort,1917,0.7183066070972328,0.7003420297364964,0.7385334451713855,nhl,males,agg
cohort,1917.5,0.7236232300085934,0.7060805477576088,0.7438632700425969,nhl,males,agg
cohort,1918,0.729139014845496,0.7119400634042131,0.749087316176657,nhl,males,agg
cohort,1918.5,0.7346833866940801,0.7176931773211503,0.7543572052444333,nhl,males,agg
cohort,1919,0.7402715369250319,0.7233627063332339,0.759304209636464,nhl,males,agg
cohort,1919.5,0.7460078076070586,0.7293122140417354,0.7644444633284495,nhl,males,agg
cohort,1920,0.7516097547791643,0.7350054354171893,0.7696826868068148,nhl,males,agg
cohort,1920.5,0.7573157460489894,0.7409389717947935,0.7750985619955362,nhl,males,agg
cohort,1921,0.7630016416133913,0.747210837735545,0.7806900019344657,nhl,males,agg
