tier,subtype,sex,n_a,n_p,n_c,tot_knots,cases_mape,pe_2021,n_coef,dev_df_full,aic_full
subtype,follicular,males,6,6,6,18,4.515512933054489,-2.8310204254234166,14,1.2545228722692363,1085.3624590970128
subtype,follicular,females,6,6,6,18,10.350216308844963,-5.631425285836428,13,1.7037391299189009,1105.2328455287534
subtype,mantle_cell,males,6,6,6,18,10.82511241023886,43.789524525585534,13,0.777818222842502,711.801501964379
subtype,mantle_cell,females,6,6,6,18,30.841674191824954,73.71651199858768,14,0.8549104151907602,595.9596369828544
agg,nhl,males,7,6,6,19,1.8781862553303723,4.063295735930804,14,2.3883770266370488,2647.408607268863
agg,nhl,females,7,6,6,19,2.1021430067406435,1.1455452780985464,14,1.2142878918886952,2224.025881131
agg,hodgkin,males,7,6,6,19,4.660326662890137,0.7056151639159551,15,2.0072942464633448,2028.5574328164275
agg,hodgkin,females,7,6,6,19,7.438243380616968,-1.1051326022655714,14,2.7927553579463367,2178.400381026133
subtype,dlbcl,males,7,6,6,19,2.473003846543136,4.261359993732661,14,1.4405867519716193,1240.4216851215335
subtype,dlbcl,females,7,6,6,19,7.826592870834739,9.694840043555894,14,1.1656854173972144,1136.7791909430098
subtype,follicular,males,7,6,6,19,4.515512933054489,-2.8310204254234166,14,1.2545228722692363,1085.3624590970128
subtype,follicular,females,7,6,6,19,10.350216308844963,-5.631425285836428,14,1.370121331967548,1053.1511121204715
subtype,mantle_cell,males,7,6,6,19,10.82511241023886,43.789524525585534,14,0.7633244425581062,710.7481602368855
subtype,mantle_cell,females,7,6,6,19,30.841674191824954,73.71651199858768,14,0.8549104151907602,595.9596369828544
agg,nhl,males,4,7,6,17,1.9270230894554579,3.951239540949589,14,2.6338327152387593,2714.663465945733
agg,nhl,females,4,7,6,17,2.0679740437499574,0.835171803996936,14,1.9534129598317451,2426.5461497473984
agg,hodgkin,males,4,7,6,17,4.691780177740891,0.32824260597519794,14,2.4184631680199993,2141.2250115694137
agg,hodgkin,females,4,7,6,17,7.572985925093128,-2.7671632897397465,14,2.8326894695702145,2189.342327611074
subtype,dlbcl,males,4,7,6,17,2.654943160772848,4.424963710408038,14,1.9513748561250512,1320.6154174736225
subtype,dlbcl,females,4,7,6,17,5.685998502426336,4.207537565439854,13,1.9667542092280064,1262.5137454696717
subtype,follicular,males,4,7,6,17,4.863727407630592,-2.69400136940343,14,1.4150021792756522,1110.55771029702
subtype,follicular,females,4,7,6,17,11.673548999664186,-7.862528740316767,14,1.716578190409402,1107.544838895843
subtype,mantle_cell,males,4,7,6,17,10.533490375150242,43.47955770266426,13,0.8166075619933085,717.9302175502061
subtype,mantle_cell,females,4,7,6,17,23.041366361549763,64.15031833295795,14,0.8746795081356755,599.0633845752061
agg,nhl,males,5,7,6,18,1.9270230894554579,3.951239540949589,14,2.510021976727913,2680.739323593762
agg,nhl,females,5,7,6,18,2.0720607956284587,0.8420763778335413,15,1.1899615494115787,2218.1705017428594
agg,hodgkin,males,5,7,6,18,4.768438369340573,1.0043049755633198,15,2.023170486985937,2032.8916464790943
agg,hodgkin,females,5,7,6,18,7.418362244843261,-3.5085537606169845,14,3.350631357642639,2331.2584049429215
subtype,dlbcl,males,5,7,6,18,2.8771985152014627,4.991261126319872,14,1.9513748561250512,1320.6154174736225
