sex,age_group,years_since_dx,subtype,annual_rate,source
females,25–34,4,dlbcl,0.004366666666666663,fallback (non-improving)
females,25–34,5,dlbcl,0.004566666666666666,fallback (non-improving)
females,25–34,1,follicular,0,age-specific
females,25–34,2,follicular,0,age-specific
females,25–34,3,follicular,0,age-specific
females,25–34,4,follicular,0.0028000000000000026,age-specific
females,25–34,5,follicular,0.005700000000000005,age-specific
females,25–34,1,mantle_cell,0.006100000000000005,fallback (filled cell)
females,25–34,2,mantle_cell,0.006149999999999994,fallback (filled cell)
females,25–34,3,mantle_cell,0.013850000000000006,fallback (filled cell)
females,25–34,4,mantle_cell,0.014699999999999996,fallback (filled cell)
females,25–34,5,mantle_cell,0.012600000000000005,fallback (filled cell)
females,25–34,1,hodgkin,7.000000000000006e-4,age-specific
females,25–34,2,hodgkin,0.0010000000000000009,age-specific
females,25–34,3,hodgkin,0.002200000000000002,age-specific
females,25–34,4,hodgkin,0.0024000000000000245,age-specific
females,25–34,5,hodgkin,0.002100000000000024,age-specific
females,25–34,1,nhl,-8.000000000000007e-4,age-specific
females,25–34,2,nhl,-3.0000000000000024e-4,age-specific
females,25–34,3,nhl,-1.0000000000000009e-4,age-specific
females,25–34,4,nhl,5.000000000000004e-4,age-specific
females,25–34,5,nhl,0.0010999999999999899,age-specific
females,35–44,1,dlbcl,0.0016999999999999904,age-specific
females,35–44,2,dlbcl,0.0032000000000000028,age-specific
females,35–44,3,dlbcl,-8.000000000000007e-4,age-specific
females,35–44,4,dlbcl,-8.000000000000007e-4,age-specific
females,35–44,5,dlbcl,8.000000000000007e-4,age-specific
females,35–44,1,follicular,5.000000000000004e-4,age-specific
females,35–44,2,follicular,0.0015999999999999793,age-specific
females,35–44,3,follicular,8.999999999999786e-4,age-specific
females,35–44,4,follicular,0.0014000000000000234,age-specific
females,35–44,5,follicular,0.0019000000000000238,age-specific
females,35–44,1,mantle_cell,0.006100000000000005,fallback (filled cell)
females,35–44,2,mantle_cell,0.006149999999999994,fallback (filled cell)
females,35–44,3,mantle_cell,0.013850000000000006,fallback (filled cell)
females,35–44,4,mantle_cell,0.014699999999999996,fallback (filled cell)
females,35–44,5,mantle_cell,0.012600000000000005,fallback (filled cell)
females,35–44,1,hodgkin,0.003500000000000003,age-specific
females,35–44,2,hodgkin,0.003700000000000003,age-specific
females,35–44,3,hodgkin,0.004200000000000026,age-specific
females,35–44,4,hodgkin,0.0043000000000000035,age-specific
females,35–44,5,hodgkin,0.0043000000000000035,age-specific
females,35–44,1,nhl,0.0019000000000000017,age-specific
females,35–44,2,nhl,0.0032999999999999917,age-specific
females,35–44,3,nhl,0.0016000000000000014,age-specific
females,35–44,4,nhl,0.0019000000000000017,age-specific
females,35–44,5,nhl,0.002400000000000002,age-specific
females,45–54,1,dlbcl,0.0032833333333333325,fallback (non-improving)
females,45–54,2,dlbcl,0.004883333333333332,fallback (non-improving)
females,45–54,3,dlbcl,0.0038833333333333324,fallback (non-improving)
females,45–54,4,dlbcl,0.004366666666666663,fallback (non-improving)
females,45–54,5,dlbcl,0.004566666666666666,fallback (non-improving)
females,45–54,1,follicular,3.9999999999997817e-4,age-specific
females,45–54,2,follicular,0.0017000000000000238,age-specific
females,45–54,3,follicular,0.002300000000000002,age-specific
females,45–54,4,follicular,0.0028000000000000026,age-specific
females,45–54,5,follicular,0.003499999999999992,age-specific
females,45–54,1,mantle_cell,0.006100000000000005,fallback (no data)
females,45–54,2,mantle_cell,0.006149999999999994,fallback (no data)
females,45–54,3,mantle_cell,0.013850000000000006,fallback (no data)
females,45–54,4,mantle_cell,0.014699999999999996,fallback (no data)
females,45–54,5,mantle_cell,0.012600000000000005,fallback (no data)
females,45–54,1,hodgkin,3.0000000000000024e-4,age-specific
females,45–54,2,hodgkin,0.0014000000000000013,age-specific
females,45–54,3,hodgkin,0.002399999999999991,age-specific
females,45–54,4,hodgkin,0.0028999999999999916,age-specific
females,45–54,5,hodgkin,0.002199999999999991,age-specific
females,45–54,1,nhl,0.001200000000000001,age-specific
females,45–54,2,nhl,0.002399999999999991,age-specific
females,45–54,3,nhl,0.0030000000000000027,age-specific
females,45–54,4,nhl,0.0026000000000000025,age-specific
females,45–54,5,nhl,0.0028000000000000026,age-specific
females,55–64,1,dlbcl,6.000000000000005e-4,age-specific
females,55–64,2,dlbcl,0.0029000000000000024,age-specific
females,55–64,3,dlbcl,0.0026999999999999915,age-specific
females,55–64,4,dlbcl,0.003399999999999992,age-specific
females,55–64,5,dlbcl,0.003400000000000003,age-specific
females,55–64,1,follicular,0.001000000000000023,age-specific
females,55–64,2,follicular,0.001100000000000001,age-specific
females,55–64,3,follicular,0.002200000000000002,age-specific
females,55–64,4,follicular,0.003799999999999992,age-specific
females,55–64,5,follicular,0.004299999999999993,age-specific
females,55–64,1,mantle_cell,0.006100000000000005,fallback (non-improving)
females,55–64,2,mantle_cell,0.006149999999999994,fallback (non-improving)
females,55–64,3,mantle_cell,0.013850000000000006,fallback (non-improving)
females,55–64,4,mantle_cell,0.014699999999999996,fallback (non-improving)
females,55–64,5,mantle_cell,0.012600000000000005,fallback (non-improving)
females,55–64,1,hodgkin,-4.999999999999894e-4,age-specific
females,55–64,2,hodgkin,0.003100000000000003,age-specific
females,55–64,3,hodgkin,0.0064000000000000055,age-specific
females,55–64,4,hodgkin,0.007500000000000007,age-specific
females,55–64,5,hodgkin,0.006899999999999995,age-specific
females,55–64,1,nhl,5.999999999999894e-4,age-specific
females,55–64,2,nhl,0.0017000000000000014,age-specific
females,55–64,3,nhl,0.0017000000000000014,age-specific
females,55–64,4,nhl,0.0027000000000000023,age-specific
females,55–64,5,nhl,0.003400000000000003,age-specific
females,65–74,1,dlbcl,0.002200000000000002,age-specific
females,65–74,2,dlbcl,0.0026000000000000025,age-specific
females,65–74,3,dlbcl,0.0028000000000000026,age-specific
females,65–74,4,dlbcl,0.0038999999999999924,age-specific
females,65–74,5,dlbcl,0.003300000000000003,age-specific
females,65–74,1,follicular,0.0010000000000000009,age-specific
females,65–74,2,follicular,8.000000000000007e-4,age-specific
females,65–74,3,follicular,0.0026000000000000025,age-specific
