P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier
2033,722.5648396470892,668.3957312710844,777.3622584173416,3.2304063203252564,2.975689148124227,3.4922082165666253,follicular,females,subtype
2034,724.9507160394369,668.764710144752,781.0272260043732,3.1701782512571346,2.910157194507178,3.432480972087335,follicular,females,subtype
2035,725.773238876795,667.8142991964917,784.1457152325045,3.106760220680205,2.8439179471333498,3.3696632049385897,follicular,females,subtype
2036,726.4469211265618,665.6937419947817,787.4652555749869,3.038666567295821,2.772101234927013,3.3072433766589593,follicular,females,subtype
2037,724.8527702318033,661.781709387724,788.5190317315788,2.9672318018983628,2.6978350588144386,3.238666131400467,follicular,females,subtype
2038,721.6643143592245,656.3488916807305,788.275472328255,2.8935649729841595,2.622043429363556,3.1776317637432094,follicular,females,subtype
2039,716.9407647347896,649.694411338406,786.0717971328852,2.8204175166485532,2.545640097032595,3.109295752846683,follicular,females,subtype
2040,711.4813348073908,641.6666434055921,782.4633777705908,2.7454245947931177,2.4691483336166278,3.036510289319503,follicular,females,subtype
2041,704.7266566288979,632.6955631587545,778.0540242245123,2.670547970905079,2.3889937703104955,2.9630149199052465,follicular,females,subtype
2042,698.896080707299,625.4200454861726,774.4734913705996,2.6076179327397675,2.325213512916423,2.9026143908724427,follicular,females,subtype
2043,692.7889453038432,618.0164912643169,770.3394903788192,2.5455071669149527,2.267676716858351,2.842980762418983,follicular,females,subtype
2044,686.2563346656734,610.6466288046252,766.0881192747929,2.4818616028972222,2.2047865374179896,2.7801013682145626,follicular,females,subtype
2045,678.8815570584037,602.8938476572115,761.3676453963345,2.4189298880863115,2.1421925065744465,2.72429850186972,follicular,females,subtype
2022,223.02937041731784,201.94742417369227,247.92928815246353,1.404104583711711,1.268889811087079,1.5594807273105407,mantle_cell,males,subtype
2023,233.35637334763823,211.65480484222,259.8180417254371,1.4239275192503726,1.2923230449873264,1.5818000846000415,mantle_cell,males,subtype
2024,243.7188357180011,221.16413567955829,271.5227282606665,1.4423679892863908,1.3090071936960204,1.6050310071789482,mantle_cell,males,subtype
2025,254.51968533831456,230.44769249027624,283.2071185339916,1.4632575991209644,1.3227618992652908,1.6269157403640233,mantle_cell,males,subtype
2026,266.53551689916605,240.0482573430035,297.71776778456103,1.4843596152717988,1.332397611443045,1.660073904517702,mantle_cell,males,subtype
2027,278.92447748551774,249.58219150265475,313.02680768394134,1.5081490893921794,1.345108491955974,1.694329712346743,mantle_cell,males,subtype
2028,291.0293603491655,258.60734663245194,328.0673043825443,1.5298194834336838,1.3550045991254398,1.7214369255937305,mantle_cell,males,subtype
2029,302.6649557940555,267.8109284354263,342.2467223407106,1.5468209188415558,1.3658472911289112,1.7540931241008137,mantle_cell,males,subtype
2030,313.2580966064254,276.50260965224317,356.2316032254871,1.5622768144482875,1.370383506203077,1.781916250723255,mantle_cell,males,subtype
2031,322.5652837421695,283.06612240071604,369.8410510738875,1.5718755393475976,1.369249898118053,1.808466624830289,mantle_cell,males,subtype
2032,330.9316768023059,287.75543260374513,381.01033251996773,1.577709423714746,1.3646428085644837,1.832464229735535,mantle_cell,males,subtype
2033,338.28804635464405,291.41456863736715,392.5192200172311,1.5779160901058455,1.3572113987369752,1.8489873323246238,mantle_cell,males,subtype
2034,344.9604120663324,295.25696133033534,403.4063383027177,1.5738702878302382,1.3423908662341284,1.866409951783133,mantle_cell,males,subtype
2035,351.6722199538195,299.2509475365751,414.32462663686675,1.5687154135855135,1.331009530277183,1.881952845201696,mantle_cell,males,subtype
2036,358.8212569972808,303.1089670681474,426.71379687614217,1.56396717393541,1.3159181974513312,1.8962063652163552,mantle_cell,males,subtype
2037,366.26751660544005,307.03141737658734,441.04007855828365,1.5570732844778814,1.2979006129108288,1.90807991438766,mantle_cell,males,subtype
2038,373.7659767798289,310.5746015940753,454.33246291704324,1.549547309131324,1.280022567100004,1.9194087830231228,mantle_cell,males,subtype
