tier,n_a,n_p,n_c,tot_knots,n_models,mean_mape,max_mape,mean_abs_pe21,mean_dev_df,mean_aic
agg,7,6,5,18,4,4.057092675637327,7.487781204229867,1.843871204573483,2.1035349926162437,2270.483733646441
agg,4,7,6,17,4,4.064940809009858,7.572985925093128,1.9704543101653673,2.4595995781651796,2367.944238718405
agg,7,4,5,16,4,4.074061075903302,6.875729766943711,1.7995073203649676,2.1093004171469567,2272.2901518528333
agg,6,4,5,15,4,4.074570659697615,6.875729766943711,1.8161508737203682,2.120102719373632,2275.404117600755
agg,5,7,5,17,4,4.106983559321544,7.5790493842516735,2.382026809144585,2.2824712471753124,2319.8866738926667
agg,4,7,5,16,4,4.1110923413942615,7.726493999718924,1.9186752256478175,2.469656749779004,2371.1695604903707
agg,5,5,4,14,4,4.1295008433832985,6.932867683685089,1.9761957463457782,2.321555133943087,2331.599607321221
agg,7,7,7,21,4,4.190760163599717,8.010321269636227,1.6773235529263584,2.0879562307354584,2265.9428166938233
agg,6,7,7,20,4,4.191084750632426,8.010321269636227,1.698473586933772,2.0941131973365104,2267.738531313764
agg,5,4,4,13,4,4.20710001977225,7.0391391445053175,1.8470478612719554,2.3303268446266134,2334.359813170811
agg,6,7,6,19,4,4.2380064220298586,8.163242693732427,1.629784999761628,2.1158355075559365,2273.7645533580985
agg,7,7,6,20,4,4.240552042423591,8.163242693732427,1.6174647929278332,2.104070165873197,2270.4219646760544
agg,5,6,4,15,4,4.241033228451663,7.829920894625203,2.3146761897644965,2.3260909071933655,2332.5340636528153
agg,6,7,5,18,4,4.302151288894201,8.313974387459803,1.9868499993155058,2.1179917118424547,2274.466829599827
agg,7,7,5,19,4,4.303401677315356,8.313974387459803,1.9702451546353175,2.1069464997329734,2271.3136337119454
agg,6,5,4,15,4,4.419893002163332,8.065349724714654,2.6430302011663054,2.1115624744721666,2273.037614724496
agg,7,5,4,16,4,4.421271811726679,8.065349724714654,2.630793120858093,2.1062966749533136,2271.4554391706038
agg,4,5,4,13,4,4.4261425603257445,8.240307344805743,2.519660217707554,2.5055659354682422,2382.5612843613167
agg,5,7,4,16,4,4.508528543590609,8.742502790717932,2.655483478996513,2.3302401567215756,2333.3523865132142
agg,7,4,4,15,4,4.517199004344152,8.229594401268296,2.5065588549232465,2.1158881927267297,2274.229566917267
agg,6,4,4,14,4,4.517389769823623,8.229594401268296,2.518734871387986,2.1209590983573507,2275.763708411132
agg,4,4,4,12,4,4.519138526505758,8.408533053955313,2.3938853582969513,2.5129771292394594,2385.134573358954
agg,6,6,4,16,4,4.54184329814188,9.007553880050558,2.9817293278523516,2.1153833350634654,2273.982419033511
agg,7,6,4,17,4,4.543078687934696,9.007553880050558,2.9695052093870378,2.1100781703980336,2272.3919010297273
agg,4,6,4,14,4,4.552893981533143,9.19542418828605,2.864503789937017,2.5109145445692347,2383.537283146823
agg,6,7,4,17,4,4.812653627120439,9.931454523332341,3.326085378157831,2.118763550546284,2274.7985229084416
agg,7,7,4,18,4,4.813908924975637,9.931454523332341,3.3138392011909903,2.1135113251651547,2273.224622096506
agg,4,7,4,15,4,4.8222610279345925,10.116861948663894,3.208078249289958,2.5157936754749906,2384.3730087322424
subtype,4,6,7,17,6,7.446223690787319,16.560566897699143,13.946749932571297,1.4145287902452093,1013.0593572893495
subtype,4,5,7,16,6,7.56200440707431,16.791747495801037,14.127116557166373,1.414159299533886,1012.4155333114
subtype,4,7,7,18,6,7.650390783689091,16.699593727105043,13.979895999061913,1.4182222434882235,1014.2204635635745
