scenario,year,subtype,sex,duration,prev_mid,prev_p025,prev_p975,prev_mean
conservative,2030,mantle_cell,persons,40,3491.2267258359425,3133.909877996592,3918.60798815798,3506.246748132207
conservative,2031,mantle_cell,persons,40,3663.328003374348,3283.214195882034,4101.239043083446,3671.6258422502347
conservative,2032,mantle_cell,persons,40,3826.4169561766353,3422.2900097040197,4287.011603758155,3835.5890019209787
conservative,2033,mantle_cell,persons,40,3990.5186697049567,3564.68747227214,4486.69225797512,3998.4770682557028
conservative,2034,mantle_cell,persons,40,4155.703239456013,3684.504500663989,4695.717068997615,4159.101224126207
conservative,2035,mantle_cell,persons,40,4310.273384563798,3813.5329484695594,4898.292395417994,4317.333187769071
conservative,2036,mantle_cell,persons,40,4465.735033465222,3922.609229950149,5103.384454349676,4474.544942454028
conservative,2037,mantle_cell,persons,40,4612.5152970341105,4033.002856701773,5331.011503491787,4630.357760734613
conservative,2038,mantle_cell,persons,40,4766.2035666327165,4130.9040129861505,5559.3722213000965,4784.389706707772
conservative,2039,mantle_cell,persons,40,4912.577653359335,4238.559574361519,5785.316991498108,4934.936029051155
conservative,2040,mantle_cell,persons,40,5062.416344335474,4325.815375656971,6008.337758924539,5081.438456364137
conservative,2041,mantle_cell,persons,40,5204.472308796433,4391.681743522529,6221.02159529699,5223.511664923601
conservative,2042,mantle_cell,persons,40,5330.848469901706,4459.44854596455,6431.461828363525,5360.342173984309
conservative,2043,mantle_cell,persons,40,5457.846351000731,4520.104010375386,6644.636242470432,5493.475377131482
conservative,2044,mantle_cell,persons,40,5587.216282214666,4561.49518496546,6844.590877386059,5620.462379991756
conservative,2045,mantle_cell,persons,40,5702.580978437906,4587.994922854844,7046.8242581924815,5741.878099788265
conservative,2012,hodgkin,persons,40,9247.725813886605,8338.684896644252,10106.82588055483,9243.901917762543
conservative,2013,hodgkin,persons,40,9686.292923289706,8736.574536322545,10591.013651720672,9682.88382106519
conservative,2014,hodgkin,persons,40,10128.760582208284,9130.822531963186,11079.068099410237,10126.651378351842
conservative,2015,hodgkin,persons,40,10587.858795341926,9541.680012565981,11584.484817896144,10584.771389843181
conservative,2016,hodgkin,persons,40,11046.670332365718,9964.510713449763,12088.464823926299,11047.0755343271
conservative,2017,hodgkin,persons,40,11527.288726535819,10405.416163412188,12621.97096662454,11530.849852300758
conservative,2018,hodgkin,persons,40,11960.136551632446,10813.23860722868,13097.77516461911,11972.914964247602
conservative,2019,hodgkin,persons,40,12450.79663530037,11282.049578063077,13623.39553836023,12460.585422201704
conservative,2020,hodgkin,persons,40,12972.805902443537,11773.984215189992,14180.65784190894,12987.726584198264
conservative,2021,hodgkin,persons,40,13511.897940424997,12283.14351277904,14771.774201670785,13525.884843349551
conservative,2022,hodgkin,persons,40,13919.114418069825,12699.342441131934,15131.968886167742,13919.421246281861
conservative,2023,hodgkin,persons,40,14331.787061436851,13122.94525732386,15527.200052329088,14327.148261299999
conservative,2024,hodgkin,persons,40,14764.53129795703,13580.679584845779,15939.5014450414,14760.134381025528
conservative,2025,hodgkin,persons,40,15214.580752191845,14052.184597673759,16396.616995147524,15217.375346083805
conservative,2026,hodgkin,persons,40,15678.737052358087,14527.134751437192,16842.821480438288,15675.50094537481
conservative,2027,hodgkin,persons,40,16146.05976939467,15034.999767405663,17264.54349875705,16143.427962193808
conservative,2028,hodgkin,persons,40,16610.706659195166,15526.90562566727,17690.912445833423,16612.932141493624
conservative,2029,hodgkin,persons,40,17100.747173568212,16018.833806356079,18134.823594568472,17092.83884199869
conservative,2030,hodgkin,persons,40,17569.81810393553,16527.35895821256,18568.807825004795,17564.72222334284
conservative,2031,hodgkin,persons,40,18085.72063305577,17053.319226736952,19051.951671089784,18075.131470977423
conservative,2032,hodgkin,persons,40,18571.358744064986,17572.600763635324,19533.22251573016,18565.857136430674
conservative,2033,hodgkin,persons,40,19083.699784363398,18073.998626987643,20032.050082288337,19070.851946130646
conservative,2034,hodgkin,persons,40,19599.14176028597,18586.851340823898,20556.837762116993,19582.979342362232
conservative,2035,hodgkin,persons,40,20111.676499727146,19074.25154209962,21077.097821261697,20098.788721518955
conservative,2036,hodgkin,persons,40,20618.661086949898,19595.76406078311,21574.021054815432,20603.086151118052
conservative,2037,hodgkin,persons,40,21123.443247575375,20103.532672135385,22119.76938604594,21101.44581342908
conservative,2038,hodgkin,persons,40,21630.05003936971,20592.88228852539,22658.02911064348,21612.626729207965
conservative,2039,hodgkin,persons,40,22121.50817028866,21046.946197827652,23182.87858191507,22111.704131959792
conservative,2040,hodgkin,persons,40,22616.577159020322,21496.643616926765,23716.393957229913,22616.19127577362
conservative,2041,hodgkin,persons,40,23135.405030297974,21939.94798579553,24290.39948730934,23127.72173691972
conservative,2042,hodgkin,persons,40,23630.829835536293,22409.51230638395,24829.017364212683,23621.510717502406
conservative,2043,hodgkin,persons,40,24140.131203712754,22844.44935344352,25395.14496981367,24128.146640931725
conservative,2044,hodgkin,persons,40,24631.82153743488,23248.576946912122,25931.155637467837,24612.52531785364
conservative,2045,hodgkin,persons,40,25064.285577621355,23633.41266944595,26498.49370116157,25065.250686779862
conservative,2012,nhl,persons,40,43456.07804416939,40520.12358626919,47039.10313895779,43569.30038348928
conservative,2013,nhl,persons,40,45598.28713053581,42507.80259280108,49354.63271456768,45714.130994993284
conservative,2014,nhl,persons,40,47963.91857741823,44745.78232455869,51878.67565735721,48076.02425471098
conservative,2015,nhl,persons,40,50200.80188292687,46809.756013989856,54277.019278801505,50305.14877555954
conservative,2016,nhl,persons,40,52602.404543790864,49067.191992828484,56855.2542173832,52716.658542355675
conservative,2017,nhl,persons,40,55168.75548333669,51499.64507507151,59513.0058936209,55289.41922482635
conservative,2018,nhl,persons,40,57679.78652429854,53905.56899608387,62102.03038963085,57800.37901091621
conservative,2019,nhl,persons,40,60278.43805989003,56431.097316293315,64867.632748259326,60403.49586485875
conservative,2020,nhl,persons,40,63222.71879720723,59271.61344853105,67995.19923801518,63344.45253325788
conservative,2021,nhl,persons,40,65841.70195798556,61753.79937979679,70760.38138461373,65944.98667453657
conservative,2022,nhl,persons,40,68465.05106582094,64417.36854850034,73340.385720424,68562.47711999588
conservative,2023,nhl,persons,40,71158.2593577359,67209.40015185847,76026.97391371544,71273.0236966333
conservative,2024,nhl,persons,40,73913.3210593372,70053.68177873807,78752.77947104034,74041.9490171203
conservative,2025,nhl,persons,40,76741.33060344306,72975.38673341079,81461.24739738545,76874.22235641051
conservative,2026,nhl,persons,40,79635.08811953923,75910.05889338275,84200.70349629036,79765.05349074485
conservative,2027,nhl,persons,40,82514.9822649066,78889.9146775951,86930.70105004324,82671.04092704813
conservative,2028,nhl,persons,40,85457.90306869481,82003.92897934862,89681.73745459004,85617.55874348554
conservative,2029,nhl,persons,40,88422.48825058519,85101.37230481893,92506.91555173587,88582.80343371867
conservative,2030,nhl,persons,40,91374.55565758329,88105.52379878423,95441.08360962874,91529.17593222542
conservative,2031,nhl,persons,40,94336.4390930744,91139.87185145402,98326.88231978947,94463.61332324604
