year,prev_mid,prev_p025,prev_p975,prev_mean,duration,subtype,sex
2039,951.173920430756,768.4010162777279,1181.0279712826014,955.5279030814401,3,mantle_cell,males
2040,962.8474940965317,770.2128296917656,1206.5393088585913,967.8968730145685,3,mantle_cell,males
2041,972.0018681858347,771.3799445149793,1228.936269956361,978.3080892830959,3,mantle_cell,males
2042,977.9517388853596,769.0343578630611,1250.210694180864,986.422833302694,3,mantle_cell,males
2043,983.2516374378354,765.6855187017858,1273.4105413133325,992.3314108289982,3,mantle_cell,males
2044,986.7819203661593,763.4288255501815,1289.267815692316,996.5314293178885,3,mantle_cell,males
2045,988.6324321462023,758.3331827035373,1307.8141228549684,999.3720454741346,3,mantle_cell,males
2012,556.878014848332,546.820694032927,566.114512309347,556.7446358491651,5,mantle_cell,males
2013,585.8395654427578,575.601877421563,596.1584931626547,585.957934220161,5,mantle_cell,males
2014,616.1685916609829,605.4028949641424,626.6383842049012,616.3041469612109,5,mantle_cell,males
2015,623.3581644869848,612.1574235476644,634.0651148912665,623.308478980732,5,mantle_cell,males
2016,645.0632540565639,633.4797283336598,656.6646109717384,645.1050893706264,5,mantle_cell,males
2017,713.961497964081,702.9091756837004,725.5984902010165,713.8889017439406,5,mantle_cell,males
2018,738.3524409503266,727.0088418880287,750.3132015449976,738.2906198052825,5,mantle_cell,males
2019,794.6906913596797,783.3382005946012,806.0785099658087,794.6473213339846,5,mantle_cell,males
2020,857.886961430328,845.945880665872,869.3768827840429,857.8290724189851,5,mantle_cell,males
2021,855.522821944815,843.2496223805083,866.7538282826293,855.4473801061985,5,mantle_cell,males
2022,853.9775195053298,830.2725730360963,879.506508360001,854.2410737281373,5,mantle_cell,males
2023,882.4513343767344,842.449206898082,928.0690857871876,883.2547741535459,5,mantle_cell,males
2024,891.4226849650418,834.4655250634237,957.0118221490983,892.9101766277475,5,mantle_cell,males
2025,906.4201490838083,832.0429315950412,992.9757150132064,908.216374605877,5,mantle_cell,males
2026,965.7752031368382,871.535600468603,1074.2550186857964,967.8711625616223,5,mantle_cell,males
2027,1014.7694420502646,911.0310777163946,1132.1821359085645,1016.6376638198152,5,mantle_cell,males
2028,1063.8727746522,949.1199218497773,1193.1607401838762,1067.4992979389467,5,mantle_cell,males
2029,1116.8042423644597,989.6307280607369,1260.7623968523337,1119.991014106981,5,mantle_cell,males
